rgn_id,iucn_sid,year,category,eval_year,sciname
1,22696698,2018,LC,2020,sula leucogaster
1,22696698,2016,LC,2020,sula leucogaster
1,22696698,2012,LC,2020,sula leucogaster
1,22696698,2009,LC,2020,sula leucogaster
1,22696698,2008,LC,2020,sula leucogaster
1,22696698,2004,LC,2020,sula leucogaster
1,22696698,2000,LR/lc,2020,sula leucogaster
1,22696698,1994,LR/lc,2020,sula leucogaster
1,22696698,1988,LR/lc,2020,sula leucogaster
1,22696694,2018,LC,2020,sula sula
1,22696694,2016,LC,2020,sula sula
1,22696694,2012,LC,2020,sula sula
1,22696694,2009,LC,2020,sula sula
1,22696694,2008,LC,2020,sula sula
1,22696694,2004,LC,2020,sula sula
1,22696694,2000,LR/lc,2020,sula sula
1,22696694,1994,LR/lc,2020,sula sula
1,22696694,1988,LR/lc,2020,sula sula
1,22694821,2018,LC,2020,gygis alba
1,22694821,2016,LC,2020,gygis alba
1,22694821,2012,LC,2020,gygis alba
1,22694821,2009,LC,2020,gygis alba
1,22694821,2008,LC,2020,gygis alba
1,22694821,2004,LC,2020,gygis alba
1,22694821,2000,LR/lc,2020,gygis alba
1,22694821,1994,LR/lc,2020,gygis alba
1,22694821,1988,LR/lc,2020,gygis alba
1,22697733,2018,LC,2020,fregata minor
1,22697733,2016,LC,2020,fregata minor
1,22697733,2012,LC,2020,fregata minor
1,22697733,2009,LC,2020,fregata minor
1,22697733,2008,LC,2020,fregata minor
1,22697733,2004,LC,2020,fregata minor
1,22697733,2000,LR/lc,2020,fregata minor
1,22697733,1994,LR/lc,2020,fregata minor
1,22697733,1988,LR/lc,2020,fregata minor
1,22697738,2018,LC,2020,fregata ariel
1,22697738,2017,LC,2020,fregata ariel
1,22697738,2016,LC,2020,fregata ariel
1,22697738,2012,LC,2020,fregata ariel
1,22697738,2009,LC,2020,fregata ariel
1,22697738,2008,LC,2020,fregata ariel
1,22697738,2004,LC,2020,fregata ariel
1,22697738,2000,LR/lc,2020,fregata ariel
1,22697738,1994,LR/lc,2020,fregata ariel
1,22697738,1988,LR/lc,2020,fregata ariel
1,22693182,2016,VU,2020,numenius tahitiensis
1,22693182,2012,VU,2020,numenius tahitiensis
1,22693182,2008,VU,2020,numenius tahitiensis
1,22693182,2006,VU,2020,numenius tahitiensis
1,22693182,2004,VU,2020,numenius tahitiensis
1,22693182,2000,VU,2020,numenius tahitiensis
1,22693182,1996,VU,2020,numenius tahitiensis
1,22693182,1994,VU,2020,numenius tahitiensis
1,22693182,1988,T,2020,numenius tahitiensis
1,22696980,2018,LC,2020,egretta sacra
1,22696980,2016,LC,2020,egretta sacra
1,22696980,2012,LC,2020,egretta sacra
1,22696980,2009,LC,2020,egretta sacra
1,22696980,2008,LC,2020,egretta sacra
1,22696980,2004,LC,2020,egretta sacra
1,22696980,2000,LR/lc,2020,egretta sacra
1,22696980,1994,LR/lc,2020,egretta sacra
1,22696980,1988,LR/lc,2020,egretta sacra
1,22693735,2016,LC,2020,pluvialis fulva
1,22693735,2012,LC,2020,pluvialis fulva
1,22693735,2009,LC,2020,pluvialis fulva
1,22693735,2008,LC,2020,pluvialis fulva
1,22693735,2004,LC,2020,pluvialis fulva
1,22693735,2000,LR/lc,2020,pluvialis fulva
1,22693735,1994,LR/lc,2020,pluvialis fulva
1,22693735,1988,LR/lc,2020,pluvialis fulva
1,22693305,2016,LC,2020,tringa incana
1,22693305,2012,LC,2020,tringa incana
1,22693305,2009,LC,2020,tringa incana
1,22693305,2008,LC,2020,tringa incana
1,22693305,2004,LC,2020,tringa incana
1,22693305,2000,LR/lc,2020,tringa incana
1,22693305,1994,LR/lc,2020,tringa incana
1,22693305,1988,LR/lc,2020,tringa incana
1,193662,2014,LC,2020,arothron meleagris
1,195775,2019,LC,2020,gymnothorax pictus
1,67871036,2016,LC,2020,myripristis murdjan
1,178012,2012,LC,2020,ctenochaetus striatus
1,190715,2012,LC,2020,chlorurus sordidus
1,190715,2010,LC,2020,chlorurus sordidus
1,67903042,2016,LC,2020,sargocentron spiniferum
1,190736,2012,LC,2020,scarus psittacus
1,190736,2010,LC,2020,scarus psittacus
1,69741115,2016,LC,2020,zanclus cornutus
1,193712,2014,LC,2020,arothron stellatus
1,132781,2018,LC,2020,cephalopholis argus
1,132781,2008,LC,2020,cephalopholis argus
1,165878,2010,LC,2020,centropyge flavissima
1,165631,2010,LC,2020,chaetodon auriga
1,165651,2010,LC,2020,chaetodon lunula
1,132788,2018,LC,2020,epinephelus merra
1,132788,2008,LC,2020,epinephelus merra
1,16719296,2016,LC,2020,gnathodentex aureolineatus
1,60324,2019,LC,2020,chanos chanos
1,60324,2017,LC,2020,chanos chanos
1,20430651,2016,LC,2020,caranx ignobilis
1,177950,2012,LC,2020,naso lituratus
1,187396,2010,LC,2020,labroides dimidiatus
1,187559,2010,LC,2020,thalassoma hardwicke
1,65364818,2017,LC,2020,corythoichthys flavofasciatus
1,67871143,2016,LC,2020,neoniphon argenteus
1,195741,2019,LC,2020,gymnothorax javanicus
1,67853451,2016,LC,2020,synodus jaculum
1,50903234,2016,LC,2020,dactyloptena orientalis
1,50903119,2016,LC,2020,mulloidichthys flavolineatus
1,20429455,2016,LC,2020,carangoides ferdau
1,194377,2016,LC,2020,lutjanus fulvus
1,69181941,2016,LC,2020,parupeneus barberinus
1,165640,2010,LC,2020,heniochus chrysostomus
1,187722,2010,LC,2020,epibulus insidiator
1,177995,2012,LC,2020,acanthurus guttatus
1,177970,2012,LC,2020,naso unicornis
1,39375,2009,NT,2020,carcharhinus melanopterus
1,39375,2000,LR/nt,2020,carcharhinus melanopterus
1,42834,2003,EN,2020,negaprion acutidens
1,195459,2019,VU,2020,mobula alfredi
1,195459,2011,VU,2020,mobula alfredi
1,9249,2018,LC,2020,globicephala macrorhynchus
1,9249,2011,DD,2020,globicephala macrorhynchus
1,9249,2008,DD,2020,globicephala macrorhynchus
1,9249,1996,LR/cd,2020,globicephala macrorhynchus
1,9249,1994,K,2020,globicephala macrorhynchus
1,20738,2019,LC,2020,steno bredanensis
1,20738,2012,LC,2020,steno bredanensis
1,20738,2008,LC,2020,steno bredanensis
1,20738,1996,DD,2020,steno bredanensis
1,20738,1994,K,2020,steno bredanensis
1,20733,2018,LC,2020,stenella longirostris
1,20733,2012,DD,2020,stenella longirostris
1,20733,2008,DD,2020,stenella longirostris
1,20733,1996,LR/cd,2020,stenella longirostris
1,13244,2008,DD,2020,mesoplodon densirostris
1,13244,1996,DD,2020,mesoplodon densirostris
1,13244,1994,K,2020,mesoplodon densirostris
1,8005,2008,CR,2020,eretmochelys imbricata
1,8005,1996,CR,2020,eretmochelys imbricata
1,8005,1994,E,2020,eretmochelys imbricata
1,8005,1990,E,2020,eretmochelys imbricata
1,8005,1988,E,2020,eretmochelys imbricata
1,8005,1986,E,2020,eretmochelys imbricata
1,8005,1982,E,2020,eretmochelys imbricata
1,16285718,2019,LC,2020,chelonia mydas
1,16285718,2012,LC,2020,chelonia mydas
1,46967807,2013,CR,2020,dermochelys coriacea
1,84156809,2015,CR,2020,caretta caretta
1,2811,1996,DD,2020,birgus latro
1,2811,1994,R,2020,birgus latro
1,2811,1990,R,2020,birgus latro
1,2811,1988,R,2020,birgus latro
1,2811,1986,R,2020,birgus latro
1,2811,1983,R,2020,birgus latro
1,163055,2018,LC,2020,octopus cyanea
1,22138,1996,LR/cd,2020,tridacna maxima
1,22138,1994,K,2020,tridacna maxima
1,22138,1990,K,2020,tridacna maxima
1,22138,1988,K,2020,tridacna maxima
1,22138,1986,K,2020,tridacna maxima
1,22138,1983,K,2020,tridacna maxima
1,133216,2014,NT,2020,porites lobata
1,133216,2008,NT,2020,porites lobata
1,133291,2014,VU,2020,acropora striata
1,133291,2008,VU,2020,acropora striata
1,133197,2014,LC,2020,pocillopora verrucosa
1,133197,2008,LC,2020,pocillopora verrucosa
1,133595,2008,LC,2020,millepora platyphylla
1,180421,2013,LC,2020,holothuria atra
1,132832,2008,EN,2020,megaptera novaeangliae
1,16564,2019,LC,2020,peponocephala electra
1,16564,2008,LC,2020,peponocephala electra
1,16564,1996,LR/lc,2020,peponocephala electra
1,16564,1994,K,2020,peponocephala electra
1,11534,2008,VU,2020,lepidochelys olivacea
1,11534,1996,EN,2020,lepidochelys olivacea
1,11534,1994,E,2020,lepidochelys olivacea
1,11534,1990,E,2020,lepidochelys olivacea
1,11534,1988,E,2020,lepidochelys olivacea
1,11534,1986,E,2020,lepidochelys olivacea
1,11534,1982,E,2020,lepidochelys olivacea
1,39415,2006,NT,2020,aetobatus narinari
1,39415,2000,DD,2020,aetobatus narinari
